place_id,name,formatted_address,rating,user_ratings_total,opening_hours,website,reviews,recent_reviews
ChIJM0l2ycTLw4kRS-lYMmQJTBU,J Bacsoka Plumbing & Heating,"60 Miara St, Parlin, NJ 08859",4.4,19,,N/A,"Jim was a very nice gentleman and did a terrific job.  Replaced two toilets, cartridges for roman tub faucet and specialty hoses for pedestal sink.  He was very tidy and it was a pleasure to engage his professional services in my home.  Thanks, Jim; Jim is very professional and gave me a fair price too. He installed faucet to our newly renovated kitchen and he fix and put up a new pipe to our drainer. I will highly recommend this company. Thumbs up!; Guess these guys arent interested in small jobs. Got a call back at first, I guess to see what the job was. Once known it was a toilet tank install and a leak on the shut off valve...POOF he disapeared. Didnt return calls nor texts. After a few days finally got a text ill be there in the morning aaannnddd a no show. I just feel its 100% unprofessional, I wasnt getting the job done for free, I was paying. I guess the small jobs although not small to me the leak the 1 bathroom are not worth his time....; I had a backup in the main waste pipe going out to the street, before the trap. It wasn't an emergency because it was still draining a bit but quite slowly. I could tell because the sink in my basement filled slowly with water.  I called and let them know what was going on and they came out the very next day.  They did an excellent and quick job cleaning everything out thoroughly using a manual snake as well as a large snake attached to a machine.  Everything is draining again. The price was also very good. Thanks!; Had new dish washer installed in a non conventional installation. Job was done quickly professionally and in a timely manner. Also had a toilet leak also that entailed repairing wood underneath the toilet and all was taken care. I would absolutely recommend calling these guys for your plumping needs.","Jim was a very nice gentleman and did a terrific job.  Replaced two toilets, cartridges for roman tub faucet and specialty hoses for pedestal sink.  He was very tidy and it was a pleasure to engage his professional services in my home.  Thanks, Jim; Guess these guys arent interested in small jobs. Got a call back at first, I guess to see what the job was. Once known it was a toilet tank install and a leak on the shut off valve...POOF he disapeared. Didnt return calls nor texts. After a few days finally got a text ill be there in the morning aaannnddd a no show. I just feel its 100% unprofessional, I wasnt getting the job done for free, I was paying. I guess the small jobs although not small to me the leak the 1 bathroom are not worth his time....; Jim is very professional and gave me a fair price too. He installed faucet to our newly renovated kitchen and he fix and put up a new pipe to our drainer. I will highly recommend this company. Thumbs up!; Had new dish washer installed in a non conventional installation. Job was done quickly professionally and in a timely manner. Also had a toilet leak also that entailed repairing wood underneath the toilet and all was taken care. I would absolutely recommend calling these guys for your plumping needs.; I had a backup in the main waste pipe going out to the street, before the trap. It wasn't an emergency because it was still draining a bit but quite slowly. I could tell because the sink in my basement filled slowly with water.  I called and let them know what was going on and they came out the very next day.  They did an excellent and quick job cleaning everything out thoroughly using a manual snake as well as a large snake attached to a machine.  Everything is draining again. The price was also very good. Thanks!"
ChIJB6tXc-WFwYkRVpjPBAiv5ds,PlumbGenX Plumbing & Heating Contractors LLC.,"249 2nd St, South Amboy, NJ 08879",5,4,,N/A,"WOW!!!! I can not say enough about Plumbgenx, John was so extremely professional and really knows how to clean pipes and get the job done!!! By far his work is Quality and he's defiantly very Knowledgeable!!!!; Excellent service, extremely fair pricing and very professional plumbing.  I will definitely hire John again in the future.; Used Plumbgenx a number of times, very satisfied with John’s prices and work.; I need a plumber to snake my system on Easter because I had a back up and it was ruining everything in my basement that was on the floor  The gentleman‘s workers couldn’t make it so he showed up himself I Could not have been happier this company is my plumbing company for life now as long as I  here","I need a plumber to snake my system on Easter because I had a back up and it was ruining everything in my basement that was on the floor  The gentleman‘s workers couldn’t make it so he showed up himself I Could not have been happier this company is my plumbing company for life now as long as I  here; Excellent service, extremely fair pricing and very professional plumbing.  I will definitely hire John again in the future.; Used Plumbgenx a number of times, very satisfied with John’s prices and work.; WOW!!!! I can not say enough about Plumbgenx, John was so extremely professional and really knows how to clean pipes and get the job done!!! By far his work is Quality and he's defiantly very Knowledgeable!!!!"
ChIJAQA8YZwAw4kRbfelanoeTCE,Jvd Rooter,"15 Gould Pl, West Caldwell Twp, NJ 07006",4.9,95,,N/A,"Amazing plumber. Honest, professional, responsive. Understands issues in old home and will tell you honestly how to remedy. If you want it done right call him!; Marek was fantastic! He immediately identified and explained our problems and took the steps necessary to ensure it was 100% fixed and would not happen again. He was on time, responsive, friendly, and professional! We cannot recommend him highly enough!; Mark was great! Skin was completely clogged and I used every chemical and cheap snakes I could to fix the problem! Took him 15m to get the job done! Also yelled at us for allowing any oil and other things to fall into sink; Marek has been the most professional service provider for my sewer system since I have been a member of HomeServe. He was courteous, knowledgeable, and concerned about finding the source of the problem. He engaged with HomeServe to get approval to use his camera to inspect my sewer system and found roots. He then followed up with HomeServe to get approval to come back to my home to clean out the roots. His willingness to share his knowledge with me made me feel confident that my problem will be resolved. Prior service providers came and cleared my sewer system but the problem reoccurred within 2-3 months. The last provider came and used a balloon system that only resolved the problem for 11 days. Marek was also concerned about the cleanliness of his service call. I am glad I requested another provider and connected with Marek. I am happy to write this review and recommend both JVD Rooter and HomeServe for their professionalism and concern in swiftly responding to my request. Thank you for your service.; I had a great experience with Mark. Mark did an excellent job clearing the sewer lines and used technology of putting a camera inside the lines to see what was causing the problem. He was very quick and responsive.","Marek was fantastic! He immediately identified and explained our problems and took the steps necessary to ensure it was 100% fixed and would not happen again. He was on time, responsive, friendly, and professional! We cannot recommend him highly enough!; Mark was great! Skin was completely clogged and I used every chemical and cheap snakes I could to fix the problem! Took him 15m to get the job done! Also yelled at us for allowing any oil and other things to fall into sink; Marek has been the most professional service provider for my sewer system since I have been a member of HomeServe. He was courteous, knowledgeable, and concerned about finding the source of the problem. He engaged with HomeServe to get approval to use his camera to inspect my sewer system and found roots. He then followed up with HomeServe to get approval to come back to my home to clean out the roots. His willingness to share his knowledge with me made me feel confident that my problem will be resolved. Prior service providers came and cleared my sewer system but the problem reoccurred within 2-3 months. The last provider came and used a balloon system that only resolved the problem for 11 days. Marek was also concerned about the cleanliness of his service call. I am glad I requested another provider and connected with Marek. I am happy to write this review and recommend both JVD Rooter and HomeServe for their professionalism and concern in swiftly responding to my request. Thank you for your service.; Amazing plumber. Honest, professional, responsive. Understands issues in old home and will tell you honestly how to remedy. If you want it done right call him!; I had a great experience with Mark. Mark did an excellent job clearing the sewer lines and used technology of putting a camera inside the lines to see what was causing the problem. He was very quick and responsive."
ChIJjRSyf47Lw4kRBcgHnmqcjJ0,Roto-Rooter Plumbing & Water Cleanup,"438 Lawton Pl #1, Perth Amboy, NJ 08861",4.8,663,,N/A,"Jamil, the technician, came right on time, assessed situation in timely manner, gave me a quote, and solved the issue with main sewer blockage in a very thorough manner.  Every work was explained in details, and he was very courteous.; Robert was probably the nicest plumber I’ve ever met. He came in and explained everything thoroughly as well as made sure we were comfortable with the process by giving us a step by step. Our plumbing was done quickly and efficiently. He even tried to accommodate us price wise and offered to assist with any other concerns. His polite and considerate manner was definitely a nice treat and me and my family were so grateful and happy to have him!; Vince is professional efficient knowledgeable with his partner . They came and played no games with my kitchen and bathroom sink! Straight Gucci and I   Appreciate the help. A year not using my kitchen sink finally I’m 😊 happy. Thank you thank you thank youuuuuu; We just had Jamil come to our home to fix a backed up sink/pipe issue. He was patient and thorough and answered all our questions. And, most importantly, he fixed our issue quickly! I would highly recommend him!; Jamil was great.  Help clean up when the clog was cleared.  He is very knowledgeable.  Professional and friendly.  They were upfront with the cost once they visited and i had opportunity to say no.  There was no pressuring to make a decision.","We just had Jamil come to our home to fix a backed up sink/pipe issue. He was patient and thorough and answered all our questions. And, most importantly, he fixed our issue quickly! I would highly recommend him!; Robert was probably the nicest plumber I’ve ever met. He came in and explained everything thoroughly as well as made sure we were comfortable with the process by giving us a step by step. Our plumbing was done quickly and efficiently. He even tried to accommodate us price wise and offered to assist with any other concerns. His polite and considerate manner was definitely a nice treat and me and my family were so grateful and happy to have him!; Jamil, the technician, came right on time, assessed situation in timely manner, gave me a quote, and solved the issue with main sewer blockage in a very thorough manner.  Every work was explained in details, and he was very courteous.; Vince is professional efficient knowledgeable with his partner . They came and played no games with my kitchen and bathroom sink! Straight Gucci and I   Appreciate the help. A year not using my kitchen sink finally I’m 😊 happy. Thank you thank you thank youuuuuu; Jamil was great.  Help clean up when the clog was cleared.  He is very knowledgeable.  Professional and friendly.  They were upfront with the cost once they visited and i had opportunity to say no.  There was no pressuring to make a decision."
ChIJXxV6QWurw4kR2bGBoswZBfI,3D Mechanical,"17 Osborne Pl, West Orange, NJ 07052",5,14,,N/A,"Michal came out to do an estimate the same day we called, and had everything fixed within days of calling. He is very knowledgeable, professional, efficient and a nice guy! He hooked up our refrigerator water line and repaired a leak in our washing machine and we are very happy with his work! Will 100% call again with any plumbing needs!; I called Mike around 3:00 pm in regards to my boiler heater. He told me he would come between 5:00 or 6:00 pm. He arrived around 5:30 pm and took care of my heating issue  immediately. He was extremely reasonable and very professional. I can’t begin to tell you that he’s my future Plummer for all my plumbing and/or heating issue. I’ll recommend giving him a call if you looking for someone professional, reasonably priced and just overall great.; when we call Michael to fix our heating system which was not working for over 2 1/2 years properly, it was the best decision we have made. We had many plumbers coming to our home and they were giving us all kinds of diagnosis as well as severe prices. Now during this pandemic both myself and my husband are not working the hours as we did previously. However, when Michael came to our home and told my husband that He would not leave until the problem was fixed and solved with our heating system I couldn’t believe that he actually kept his word. he also mentioned that he would only charge us what he paid for the parts and $100 for the labor because he wanted to be known as the honest plumber.  I was so shocked when he told me what the bill was after he fixed every radiator in our home. Our radiator in the kitchen had not worked for three years and he was able to diagnose that problem and fixed it now it is given so much heat we have to turn the fan on the air conditioner on in our home because the heat is beaming and blasting thank God for Michael. because Michael was able to get our heating system up and running and working the best it has ever been. The heating system is working on every floor . We have three floors and the basement which makes four floors and all the radiators are HOT and full of heat. we are so glad that we’ve met Michael who is one of a most kind and HONEST Plumber we have ever met. Michael was not only honest and kept his word to what he told us that he would only charge us $100 for labor and whatever the parts where we paid for it he was truly a man to his word we paid only $280 and he did not even want to get a tip but he wanted to be known as the honest Plummer. This is an honest Plummer I am truly blessed to have met him if you were looking for someone to work on your boiler who is experience and will not charge you an arm and a leg call Michael. Thank you so much for being the honest Plummer; I was fortunate to get a hold of Michal on a late Saturday night during the recent Labor day weekend.  I called him to fix an issue that was caused by a ""handyman"" trying to fix a simple dripping shower faucet which resulted is a bigger issue as well as in turning off my water completely.   Once I called Michal, he was at my house in 10 minutes.  He analyzed the issue and provided some options .  At the end of the day, Michal was professional, efficient, dependable and provided a level of comfort that my issue would be resolved properly.  Throughout the process, he tried to minimize the need for me to buy new parts which was very much appreciated.  He also provided some helpful maintenance tips for other items in my house ( IE- hot water tank ).  I will definitely look to use 3D Mechanical for my future plumbing needs!!; I used Michal for a job last week. He was always responsive and communicative, and very importantly, he was on time. He went above and beyond and I had no issues with his service. I will definitely use him and his company again in the near future.","Michal came out to do an estimate the same day we called, and had everything fixed within days of calling. He is very knowledgeable, professional, efficient and a nice guy! He hooked up our refrigerator water line and repaired a leak in our washing machine and we are very happy with his work! Will 100% call again with any plumbing needs!; I used Michal for a job last week. He was always responsive and communicative, and very importantly, he was on time. He went above and beyond and I had no issues with his service. I will definitely use him and his company again in the near future.; I called Mike around 3:00 pm in regards to my boiler heater. He told me he would come between 5:00 or 6:00 pm. He arrived around 5:30 pm and took care of my heating issue  immediately. He was extremely reasonable and very professional. I can’t begin to tell you that he’s my future Plummer for all my plumbing and/or heating issue. I’ll recommend giving him a call if you looking for someone professional, reasonably priced and just overall great.; when we call Michael to fix our heating system which was not working for over 2 1/2 years properly, it was the best decision we have made. We had many plumbers coming to our home and they were giving us all kinds of diagnosis as well as severe prices. Now during this pandemic both myself and my husband are not working the hours as we did previously. However, when Michael came to our home and told my husband that He would not leave until the problem was fixed and solved with our heating system I couldn’t believe that he actually kept his word. he also mentioned that he would only charge us what he paid for the parts and $100 for the labor because he wanted to be known as the honest plumber.  I was so shocked when he told me what the bill was after he fixed every radiator in our home. Our radiator in the kitchen had not worked for three years and he was able to diagnose that problem and fixed it now it is given so much heat we have to turn the fan on the air conditioner on in our home because the heat is beaming and blasting thank God for Michael. because Michael was able to get our heating system up and running and working the best it has ever been. The heating system is working on every floor . We have three floors and the basement which makes four floors and all the radiators are HOT and full of heat. we are so glad that we’ve met Michael who is one of a most kind and HONEST Plumber we have ever met. Michael was not only honest and kept his word to what he told us that he would only charge us $100 for labor and whatever the parts where we paid for it he was truly a man to his word we paid only $280 and he did not even want to get a tip but he wanted to be known as the honest Plummer. This is an honest Plummer I am truly blessed to have met him if you were looking for someone to work on your boiler who is experience and will not charge you an arm and a leg call Michael. Thank you so much for being the honest Plummer; I was fortunate to get a hold of Michal on a late Saturday night during the recent Labor day weekend.  I called him to fix an issue that was caused by a ""handyman"" trying to fix a simple dripping shower faucet which resulted is a bigger issue as well as in turning off my water completely.   Once I called Michal, he was at my house in 10 minutes.  He analyzed the issue and provided some options .  At the end of the day, Michal was professional, efficient, dependable and provided a level of comfort that my issue would be resolved properly.  Throughout the process, he tried to minimize the need for me to buy new parts which was very much appreciated.  He also provided some helpful maintenance tips for other items in my house ( IE- hot water tank ).  I will definitely look to use 3D Mechanical for my future plumbing needs!!"
ChIJq7ppCKU0wokR93a34mayx3A,Burlew Plumbing Heating & Cooling,"484 S Pine Ave, South Amboy, NJ 08879",3.7,3,,N/A,"Bo and Brian replaced my water heater on July 3, 2012.  They were friendly, neat and did a fine job.; These guys can be completely trusted in an emergency.profesional.well equipped for any job.knowledgable and competent; Never even had the courtesy to return the call. Shameful.","These guys can be completely trusted in an emergency.profesional.well equipped for any job.knowledgable and competent; Never even had the courtesy to return the call. Shameful.; Bo and Brian replaced my water heater on July 3, 2012.  They were friendly, neat and did a fine job."
ChIJO4zyupK1w4kRUZNsrk-OdBI,Rooter-Man,"Perth Amboy, NJ 08861",5,1,,N/A,,
ChIJyZ83Toisw4kRnuDyTp0-xKk,"AAA-Able Plumbing, Heating, & Drain Cleaning","1 4th St, South Orange Village, NJ 07079",4.4,68,,N/A,"Great experience with AAA-Able! These guys are on top of their game. Sean responded to my parents house who needed help with their boiler. He quickly and accurately diagnosed the problem and fixed the issue. Friendly and polite company. THANK YOU GUYS!; Sean is great! Very polite, patient, and careful.
He responded to my Google map message early in the morning, visited my home to inspect and scope the job, and gave me a reasonable estimate right away. The main job was to disable the moisturizer in the HVAC. Sean inspected the pipes, and suggested removing the needle-like valves that control water flow into the moisturizer, because they tend to fail. He also spotted a potential leak at a T-shape junction, and offered to replace that part altogether. The photos show the final result, very clean and well-installed.
Overall, a perfect experience although! Highly recommend AAA-Able!; This is a well run, organized, and very professional company.  I had a large (to me) leak from my sink that was going extensively into my basement.  I gave these guys a call, spoke with dispatch/owner, and they sent someone over same day to fix my issue.

When Sean arrived, he was very courteous, professional, and polite.  He is clearly very knowledgeable about his field and explained my problem to me in a way I could understand.  The fix went very smoothly and I was charged a reasonable rate.

I cannot recommend these guys enough.  Thank you again!; Great experience. Scheduling was quick and seamless, good communication on when he'd arrive and a very thorough, thoughtful approach to problem solving. He took his time to explain potential root causes of the issue as well as how the plumbing inside and outside the house worked and now I'm much more educated to diagnose problems on my own and understand the pros and cons of different approaches. My problem is resolved and the price was very fair, especially considering the different approaches he explored and time he spent answering my questions. Highly recommend!; Just wanted to take a moment to share the fact that Tom, Glenn and team came out yesterday morning and resolved a 20+ year drain mystery and problem that has, on occasion, resulted in lots of water coming into parts of my basement during crazy storms like we had 3 weeks ago.   They first came out a few days ago to diagnose the mystery and then yesterday they brought out a truck with a cleaning jet on a 200 foot long hose to blast out a cubic yard (!)  of dirt from my very clogged patio drains.   They did it very efficiently, professionally and miracle of miracles, I now am looking forward to the next thunderstorm.      After that Tom cleaned out and replaced a few 90+ year old pipes from our bathtub.

Just a super positive, super enjoyable visit from these guys and the peace of mind that they brought to us is immeasurable.

VERY highly recommend AAA-ABLE and plan to use them annually to maintain my external drains and do whatever plumbing I ever need in my house going forward.

Thanks guys.   Top notch work!

Edited to add (12/18/23):  We had a major storm in the community over the last 24 hours, a storm that would normally have dropped a lot of water in my basement.   There was none thanks to the incredible job that these guys did to clean out my drains back in May.   Their work is superb and totally pays for itself.","Great experience with AAA-Able! These guys are on top of their game. Sean responded to my parents house who needed help with their boiler. He quickly and accurately diagnosed the problem and fixed the issue. Friendly and polite company. THANK YOU GUYS!; This is a well run, organized, and very professional company.  I had a large (to me) leak from my sink that was going extensively into my basement.  I gave these guys a call, spoke with dispatch/owner, and they sent someone over same day to fix my issue.

When Sean arrived, he was very courteous, professional, and polite.  He is clearly very knowledgeable about his field and explained my problem to me in a way I could understand.  The fix went very smoothly and I was charged a reasonable rate.

I cannot recommend these guys enough.  Thank you again!; Great experience. Scheduling was quick and seamless, good communication on when he'd arrive and a very thorough, thoughtful approach to problem solving. He took his time to explain potential root causes of the issue as well as how the plumbing inside and outside the house worked and now I'm much more educated to diagnose problems on my own and understand the pros and cons of different approaches. My problem is resolved and the price was very fair, especially considering the different approaches he explored and time he spent answering my questions. Highly recommend!; Just wanted to take a moment to share the fact that Tom, Glenn and team came out yesterday morning and resolved a 20+ year drain mystery and problem that has, on occasion, resulted in lots of water coming into parts of my basement during crazy storms like we had 3 weeks ago.   They first came out a few days ago to diagnose the mystery and then yesterday they brought out a truck with a cleaning jet on a 200 foot long hose to blast out a cubic yard (!)  of dirt from my very clogged patio drains.   They did it very efficiently, professionally and miracle of miracles, I now am looking forward to the next thunderstorm.      After that Tom cleaned out and replaced a few 90+ year old pipes from our bathtub.

Just a super positive, super enjoyable visit from these guys and the peace of mind that they brought to us is immeasurable.

VERY highly recommend AAA-ABLE and plan to use them annually to maintain my external drains and do whatever plumbing I ever need in my house going forward.

Thanks guys.   Top notch work!

Edited to add (12/18/23):  We had a major storm in the community over the last 24 hours, a storm that would normally have dropped a lot of water in my basement.   There was none thanks to the incredible job that these guys did to clean out my drains back in May.   Their work is superb and totally pays for itself.; Sean is great! Very polite, patient, and careful.
He responded to my Google map message early in the morning, visited my home to inspect and scope the job, and gave me a reasonable estimate right away. The main job was to disable the moisturizer in the HVAC. Sean inspected the pipes, and suggested removing the needle-like valves that control water flow into the moisturizer, because they tend to fail. He also spotted a potential leak at a T-shape junction, and offered to replace that part altogether. The photos show the final result, very clean and well-installed.
Overall, a perfect experience although! Highly recommend AAA-Able!"
ChIJrb8Tsfm1w4kR4m5v5kvKFPo,Craig's Plumbing & Heating,"275 New Brunswick Ave, Fords, NJ 08863",4.3,41,,N/A,"I called last night to schedule a drain clean for today. Spoke to Melissa who scheduled my appointment, she was professional and courteous. The 2 technicians were friendly, & efficient. I have used Craig's in the past and I highly recommend this company.; Had trouble with my plumbing and used their service. Seemed like it worked in the beginning but after a couple of moments noticed the issue was not solved. Was a waste of time and my money. Use another local company; Great communication, great service. Knowledgeable, respectful. I am really not sure of going Price and what is reasonable but the job has to he done and they got it done. Its worth the price for all the qualities o mentioned above.  I definitely would hire them again.; DO NOT USE Craig’s Plumbing! They canceled two hours before my appointment. After both me and my husband had to take a half day at work, set up childcare and arrangements to travel to our rental property where we were suppose to fix the issue. I expressed there was a difficult tenant there when I made the appointment and it was important they are on time. They should have said something then that they did not want to deal with a difficult tenant(that’s why the canceled). They did not. They proceeded to charge me and still did not inform me until two hours before when I was already on my way there. Very rude and unprofessional and hung up on me. Could not understand why I was upset.; We contacted Craig's on a Sunday morning because our AC unit was not functioning.  We didn't expect a service call being as this occurred during a heat wave, expected to be in the lower 90's that particular day.   We not only received a call back but had a technician at our door within the hour.  Frank showed up with the best possible attitude for someone working on a Sunday morning and was able to diagnose the issue within 10 minutes and have the unit running within a half hour.  We couldn't be more happy with the whole experience and highly recommend their services.","Had trouble with my plumbing and used their service. Seemed like it worked in the beginning but after a couple of moments noticed the issue was not solved. Was a waste of time and my money. Use another local company; I called last night to schedule a drain clean for today. Spoke to Melissa who scheduled my appointment, she was professional and courteous. The 2 technicians were friendly, & efficient. I have used Craig's in the past and I highly recommend this company.; Great communication, great service. Knowledgeable, respectful. I am really not sure of going Price and what is reasonable but the job has to he done and they got it done. Its worth the price for all the qualities o mentioned above.  I definitely would hire them again.; DO NOT USE Craig’s Plumbing! They canceled two hours before my appointment. After both me and my husband had to take a half day at work, set up childcare and arrangements to travel to our rental property where we were suppose to fix the issue. I expressed there was a difficult tenant there when I made the appointment and it was important they are on time. They should have said something then that they did not want to deal with a difficult tenant(that’s why the canceled). They did not. They proceeded to charge me and still did not inform me until two hours before when I was already on my way there. Very rude and unprofessional and hung up on me. Could not understand why I was upset.; We contacted Craig's on a Sunday morning because our AC unit was not functioning.  We didn't expect a service call being as this occurred during a heat wave, expected to be in the lower 90's that particular day.   We not only received a call back but had a technician at our door within the hour.  Frank showed up with the best possible attitude for someone working on a Sunday morning and was able to diagnose the issue within 10 minutes and have the unit running within a half hour.  We couldn't be more happy with the whole experience and highly recommend their services."
ChIJkRF9Oye2w4kR4ELiNCzoGN0,Plumb-Rite Plumbing & Heating,"86 Gibian St, Edison, NJ 08837",4.7,79,,N/A,"We have been using plumb rite for a few years now. We are very pleased with the work they do. Angelo takes such pride in his work. He is highly professional and efficient. Always great job; always on time.; Angelos is very experienced and professional plumber. He replaced my two shut off valves and the bathroom faucet. The job is done well.; I am a general contractor and have been looking for a good plumber for years. Tom  and his crew are  real professionals.  They are the plumbers I will use on all of my jobs.; Angelo was A+! Thanks so much for your help. The leak was identified quickly and fixed fast. Our larger projects were completed quickly and it was an overall very informative and helpful/thoughtful process.; I first called PlumbRite after the gas company shut down my furnace due to the smell of gas in my basement. Additionally the water heater was also malfunctioning. Angelos arrived asap to assess and thoroughly explain all options. He is an excellent communicator, very knowledgeable & answered all of my questions. His work is impeccable.
After all jobs were completed I had two independent inspections done and was told this company does excellent work. Obviously this was very reassuring to  me.
I recommend them highly.","We have been using plumb rite for a few years now. We are very pleased with the work they do. Angelo takes such pride in his work. He is highly professional and efficient. Always great job; always on time.; I am a general contractor and have been looking for a good plumber for years. Tom  and his crew are  real professionals.  They are the plumbers I will use on all of my jobs.; Angelos is very experienced and professional plumber. He replaced my two shut off valves and the bathroom faucet. The job is done well.; Angelo was A+! Thanks so much for your help. The leak was identified quickly and fixed fast. Our larger projects were completed quickly and it was an overall very informative and helpful/thoughtful process.; I first called PlumbRite after the gas company shut down my furnace due to the smell of gas in my basement. Additionally the water heater was also malfunctioning. Angelos arrived asap to assess and thoroughly explain all options. He is an excellent communicator, very knowledgeable & answered all of my questions. His work is impeccable.
After all jobs were completed I had two independent inspections done and was told this company does excellent work. Obviously this was very reassuring to  me.
I recommend them highly."
